Shape,Bus_Type,Status,Establishm,Trade_Name,Address,Neighborhood,City,State,ZIP,Latitude_A,Longitude_,DE_LID_Num,License_Nu
Point,Drinking Establishment Type I,Approved,"MORTBAR, INC.",,3011 West Liberty Avenue,Allentown,Pittsburgh,PA,15216,40.392905,-80.03702,39819,R-10337
Point,Drinking Establishment Type I,Approved,"Gardeb, Inc.",R Bar,2883 West Liberty Avenue,Beechview,Pittsburgh,PA,15216,40.395219,-80.033531,61443,R-8000
Point,Drinking Establishment Type I,Approved,"Apple Inn, Inc.",Apple Inn,2895 West Liberty Avenue Dormont,Beechview,Pittsburgh,PA,15216,40.394829,-80.034232,12688,R-07348
Point,Drinking Establishment Type I,Approved,"Bedrock Cafe, Inc.","Bedrock Cafe, Inc.",604 Hampshire Avenue,Beechview,Pittsburgh,PA,15216,40.410765,-80.019251,51879,R-02696
Point,Drinking Establishment Type I,Approved,"Alpine LDA, Inc.",The Alpine,1544 Beechview Avenue,Beechview,Pittsburgh,PA,15216,40.411012,-80.025025,60492,R-9832
Point,Drinking Establishment Type I,Approved,"D & Z Duran, Inc.",,4114 Main Street,Beechview,Pittsburgh,PA,15224,40.465157,-79.954768,29436,R-09904
Point,Drinking Establishment Type I,Approved,"Condrin's Tavern, Inc.",,4501 Torley Street,Beltzhoover,Pittsburgh,PA,15224,40.464899,-79.950447,59812,R-16677
Point,Drinking Establishment Type I,Approved,"Nico's Recovery Room, Inc.",Nico's Recovery Room,176-178 Pearl Street,Bloomfield,Pittsburgh,PA,15224,40.463671,-79.948991,41963,R-12555
Point,Drinking Establishment Type I,Approved,"SEBCO, Inc.",,4509 Liberty Avenue,Bloomfield,Pittsburgh,PA,15224,40.463129,-79.951303,48183,R-13767
Point,Drinking Establishment Type I,Approved,Pollock's Cafe LLC,Pollock's Cafe,4602 Liberty Avenue,Bloomfield,Pittsburgh,PA,15224,40.462337,-79.950856,60551,R-00307
Point,Drinking Establishment Type I,Approved,"Diana & Herman Lombardozzi, Inc.",Armand's Bar & Lounge,4755 Liberty Avenue,Bloomfield,Pittsburgh,PA,15224,40.461462,-79.948174,32815,R-12962
Point,Drinking Establishment Type I,Approved,Louis Lardo,,4924 Liberty Avenue,Bloomfield,Pittsburgh,PA,15224,40.459294,-79.945178,47149,R-12517
Point,Drinking Establishment Type I,Approved,"Sonny's Tavern, Inc.","Sonny's Tavern, Inc.",630 South Millvale Avenue,Bloomfield,Pittsburgh,PA,15224,40.457909,-79.947556,35717,R-16567
Point,Drinking Establishment Type I,Approved,Brita Hospitality Group Inc.,Boulevard Lounge,1150 Brookline Boulevard,Bloomfield,Pittsburgh,PA,15226,40.391968,-80.013973,58066,R-12381
Point,Drinking Establishment Type I,Approved,"J. MARSHALL'S, INC.",Marshall's,1254-54 1/2 Brookline Boulevard,Bloomfield,Pittsburgh,PA,15226,40.391976,-80.01108,26208,R-10438
Point,Drinking Establishment Type I,Approved,"JMRL, LLC.",SLICKS CAPITOL BAR AND GRILL,101 Capitol Avenue,Bluff,Pittsburgh,PA,15226,40.40529,-80.018404,58652,R-09776
Point,Drinking Establishment Type I,Approved,Ronleen Corporation,Smokehouse Bar & Grill,2500-2502 West Liberty Avenue,Brighton Heights,Pittsburgh,PA,15226,40.399184,-80.025491,68918,R-4188
Point,Drinking Establishment Type I,Approved,"SF 2, Inc.",Senor Frogs Tavern & Restaurant,2506-08 West Liberty Avenue,Brighton Heights,Pittsburgh,PA,15226,40.399096,-80.025575,59235,R-07971
Point,Drinking Establishment Type I,Approved,"Zeppieri, Inc.",,542 Brookline Boulevard,Brookline,Pittsburgh,PA,15226,40.395298,-80.02267,53089,R-07138
Point,Drinking Establishment Type I,Approved,Raymond Gordon Eileen Gordon,,806 Brookline Boulevard,Brookline,Pittsburgh,PA,15226,40.393348,-80.019987,23744,R-05309
Point,Drinking Establishment Type I,Approved,D&D Saloon Inc.,Eggheads Saloon,1162 Brookline Boulevard,Brookline,Pittsburgh,PA,15226,40.391881,-80.013367,66778,R-01648
Point,Drinking Establishment Type I,Approved,"Lee Mccaffrey Agency, Inc.",Shawn Ryans Pub,2907 Brownsville Road,Brookline,Pittsburgh,PA,15227,40.382589,-79.976501,18834,R-17665
Point,Drinking Establishment Type I,Approved,"Character's Lounge, Inc.",Character's Lounge,2622 Brownsville Road,Brookline,Pittsburgh,PA,15227,40.384713,-79.978271,37263,R-05984
Point,Drinking Establishment Type I,Approved,"Ronnie Roscoes, Inc.",Melrose Tavern,2712 Brownsville Road,Brookline,Pittsburgh,PA,15227,40.383993,-79.977774,40820,R-10216
Point,Tobacco Shop,Approved,Klafter's Inc.,Smoker Friendly,906 Fifth Avenue,Brookline,Pittsburgh,PA,15219,40.438579,-79.991348,,
Point,Tobacco Shop,Approved,Puffs-n-Stuff,Puffs-n-Stuff,125 West Station Square Drive,Carrick,Pittsburgh,PA,15219,40.433008,-80.004562,,
Point,Drinking Establishment Type I,Approved,"Shirl The Pearls, LLC",,2409 Wylie Avenue,Carrick,Pittsburgh,PA,15219,40.447562,-79.97295,68029,H-3303
Point,Drinking Establishment Type II,Approved,"Mitchell's Bar & Restaurant, Inc.",Mitchell's Bar & Restaurant,304 Ross Street,Carrick,Pittsburgh,PA,15219,40.437105,-79.996495,23881,R-08608
Point,Drinking Establishment Type I,Approved,"1226 Herron, Inc.",Donny's Place,1226 Herron Avenue,Carrick,Pittsburgh,PA,15219,40.459221,-79.965593,42915,R-14560
