Neighborhoods,Indoor Air Act,Dump Site,Air Quality,,
Allegheny Center,0,,0.289442,,
Allegheny West,0,,0.289442,,
Allentown,0.007547,0.019489,0.137943,,
Arlington,0,0.02414,0.137943,,
Arlington Heights,0,,0.137943,,
Banksville,0,0.005536,0.288827,,
Bedford Dwellings,0,0.005536,,,
Beechview,0.037736,0.021815,,,
Beltzhoover,0.007547,0.084605,,,
Bloomfield,0.060377,0.012512,0.273077,,
Bluff,0.007547,0.005536,0.420111,,
Bon Air,0,,,,
Brighton Heights,0.015094,0.014838,0.289442,,
Brookline,0.05283,0.02414,,,
California-Kirkbride,0,0.007861,,,
Carrick,0.060377,0.066001,,,
Central Business District,0.045283,0.005536,0.137943,,
Central Lawrenceville,0.022642,,0.273077,,
Central North Side,0.015094,0.007861,0.289442,,
Central Oakland,0.030189,0.010187,0.420111,,
Chartiers City,0.007547,0.019489,,,
Chateau,0,0.007861,0.289442,,
Crafton Heights,0.007547,0.017164,,,
Crawford Roberts,0.022642,0.014838,0.420111,,
Duquesne Heights,0.007547,0.019489,0.137943,,
East Allegheny,0.022642,,,,
East Carnegie,0,0.012512,,,
East Hills,0,0.038094,0.312537,,
East Liberty,0.007547,,0.491512,,
Elliot,0.007547,0.019489,0.137943,,
Esplen,0.007547,0.019489,0.289442,,
Fairywood,0,0.02414,,,
Fineview,0,0.019489,,,
Friendship,0,,,,
Garfield,0,0.042745,0.273077,,
Glen Hazel,0,0.005536,,,
Greenfield,0.030189,0.052047,,,
Hays,0.007547,0.007861,,,
Hazelwood,0.015094,0.156698,,,
Highland Park,0,0.005536,0.491512,,
Homewood North,0.037736,0.014838,0.491512,,
Homewood South,0.015094,0.028792,0.491512,,
Homewood West,0.007547,0.005536,0.491512,,
Knoxville,0.007547,0.02414,,,
Larimer,0,0.038094,0.491512,,
Lincoln Lemington Belmar,0.030189,0.047396,0.491512,,
Lincoln Place,0.030189,,,,
Lower Lawrenceville,0.037736,,0.273077,,
Manchester,0,,,,
Marshall-Shadeland,0.030189,,0.289442,,
Middle Hill,0.037736,0.019489,0.420111,,
Morningside,0,0.005536,0.273077,,
Mount Oliver,0,0.010187,,,
Mount Washington,0.022642,0.02414,0.137943,,
New Homestead,0,0.021815,,,
North Oakland,0.022642,0.010187,0.420111,,
North Shore,0.007547,0.007861,0.289442,,
Northview Heights,0,0.005536,0.289442,,
Oakwood,0.007547,,,,
Overbrook,0.015094,0.017164,,,
Perry North,0,0.017164,0.289442,,
Perry South,0,0.121815,0.289442,,
Point Breeze,0,,0.491512,,
Point Breeze North,0,0.005536,0.491512,,
Polish Hill,0.022642,0.007861,0.273077,,
Regent Square,0.007547,,,,
Ridgemont,0,,,,
Shadyside,0.015094,,0.491512,,
Sheraden,0.007547,0.042745,,,
South Oakland,0.007547,0.017164,0.420111,,
South Shore,0.007547,,0.137943,,
South Side Flats,0.166038,0.012512,0.137943,,
South Side Slopes,0.015094,0.005536,0.137943,,
Spring Garden,0,0.012512,,,
Spring Hill City View,0,0.035768,0.289442,,
Squirrel Hill North,0.007547,,,,
Squirrel Hill South,0.007547,0.010187,,,
St. Clair,0,0.010187,,,
Stanton Heights,0,0.021815,,,
Strip District,0.037736,0.005536,,,
Summer Hill,0,0.010187,0.289442,,
Swisshelm Park,0.007547,0.012512,,,
Terrace Village,0,0.012512,,,
Troy Hill,0.030189,0.026466,0.289442,,
Upper Hill,0,0.017164,0.420111,,
Upper Lawrenceville,0.022642,,0.273077,,
West End,0.007547,0.042745,0.137943,,
West Oakland,0.007547,0.014838,0.420111,,
West Wood,0.007547,0.005536,,,
Windgap,0,0.007861,,,
,,,,,
,,,,,
,,,,,
,,,,,
